Object Handle	Area	Type	X	Y	Zx	Zy	εbi	εsj	εuk	εspm	Ebi, Esj, Euk, Espm	σbi	σsj	σuk	σspm	νbi	νsi	νuk	νspm	νbi=1	νsi=1	νuk=1	νspm=1	g
6E10A	0,000490874	r	135	233,826859	0,135	0,233826859		-0,000578224			200000		-115,64				1,0000				1			78,5
6E109	0,000490874	r	185	320,4293994	0,185	0,320429399		-0,000455956			200000		-91,19				1,0000				1			78,5
6E108	0,000490874	r	233,826859	135	0,233826859	0,135		-0,000578224			200000		-115,64				1,0000				1			78,5
6E107	0,000490874	r	320,4293994	185	0,320429399	0,185		-0,000455956			200000		-91,19				1,0000				1			78,5
6E106	0,000490874	r	270	-2,70411E-14	0,27	1,87048E-17		-0,00066668			200000		-133,34				1,0000				1			78,5
6E105	0,000490874	r	370	2,96143E-14	0,37	7,53602E-17		-0,000577174			200000		-115,43				1,0000				1			78,5
6E104	0,000490874	r	233,826859	-135	0,233826859	-0,135		-0,00081989			200000		-163,98				1,0000				1			78,5
6E103	0,000490874	r	320,4293994	-185	0,320429399	-0,185		-0,000787129			200000		-157,43				1,0000				1			78,5
6E102	0,000490874	r	135	-233,826859	0,135	-0,233826859		-0,000996802			200000		-199,36				1,0000				1			78,5
6E101	0,000490874	r	185	-320,4293994	0,185	-0,320429399		-0,001029564			200000		-205,91				1,0000				1			78,5
6E100	0,000490874	r	-3,16447E-13	-270	-2,43583E-16	-0,27		-0,001150013			200000		-230,00				1,0000				1			78,5
6E0FF	0,000490874	r	-3,6698E-13	-370	-2,94115E-16	-0,37		-0,001239519			200000		-247,90				1,0000				1			78,5
6E0FE	0,000490874	r	-135	-233,826859	-0,135	-0,233826859		-0,001238469			200000		-247,69				1,0000				1			78,5
6E0FD	0,000490874	r	-185	-320,4293994	-0,185	-0,320429399		-0,001360736			200000		-272,15				1,0000				1			78,5
6E0FC	0,000490874	r	-233,826859	-135	-0,233826859	-0,135		-0,001238469			200000		-247,69				1,0000				1			78,5
6E0FB	0,000490874	r	-320,4293994	-185	-0,320429399	-0,185		-0,001360736			200000		-272,15				1,0000				1			78,5
6E0FA	0,000490874	r	-270	2,99915E-13	-0,27	3,45661E-16		-0,001150013			200000		-230,00				1,0000				1			78,5
6E0F9	0,000490874	r	-370	3,44324E-13	-0,37	3,90069E-16		-0,001239519			200000		-247,90				1,0000				1			78,5
6E0F8	0,000490874	r	-233,826859	135	-0,233826859	0,135		-0,000996802			200000		-199,36				1,0000				1			78,5
6E0F7	0,000490874	r	-320,4293994	185	-0,320429399	0,185		-0,001029564			200000		-205,91				1,0000				1			78,5
6E0F6	0,000490874	r	-135	233,826859	-0,135	0,233826859		-0,00081989			200000		-163,98				1,0000				1			78,5
6E0F5	0,000490874	r	-185	320,4293994	-0,185	0,320429399		-0,000787129			200000		-157,43				1,0000				1			78,5
